4,Nicolas Andres,Huarte,29369913,1989-12-5,6857
4,Maria Antonella,Leiva,24260718,1987-8-1,8676
4,Martina Pilar,Mamani,27726965,1994-3-16,8848
4,Bautista Ezequiel,Farina,26869836,1999-6-2,517
4,Lara Agustina,Rivas,28045551,1995-3-16,7173
4,Joaquin Ariel,De León,34808789,2003-1-26,2641
4,Tomas Uriel,Carrizo,21639989,2000-11-5,3824
4,Lautaro Maximiliano,Gonzales,31977925,1984-8-6,9446
4,Santiago Román,Mariani,39201395,1996-8-3,2851
4,Valentina,Andrade,32722649,1984-5-28,767
4,Santiago,Varela,22002606,1982-6-17,3578
4,Martina,Ibáñez,35286793,2002-4-9,6171
4,Joaquin,Andrade,39408018,2002-8-25,4389
4,Juan Ignacio,Fazzi,31387129,1999-3-1,2367
4,Sofia,Hidalgo,34053631,1996-12-9,9852
4,Tomas,Mejía,20339753,1994-8-25,6405
4,Bautista,Mora,23912813,2000-4-10,6796
4,Mateo,Rivera,28605853,1991-6-4,3539
4,Catalina,Mamani,33317469,2000-6-20,8782
4,Benjamin,Pereira,21451199,1998-3-20,1477
4,Agustin,Huarte,38092602,1985-11-15,361
4,Santino,Zurich,28914930,2001-7-21,4757
4,Juan Cruz,Pinedo,38462350,2002-5-12,1867
4,Camila,Saldaña,25910678,1992-1-11,2678
4,Francisco,Álvarez,25285482,1985-11-6,6089
4,Ignacio,Amenedo,30146368,1982-5-31,2761
4,Lautaro,Rotundo,34965769,2003-7-16,4717
4,Juan Pablo,Mora,23283710,1987-10-25,8677
4,Valentino,Pereyra,24889082,1996-8-13,5981
4,Lucia,Moreno,30120719,1993-2-12,9610
4,Delfina,Rivera,31301330,1987-12-16,1422
4,Agustina,Rotman,36402122,1995-12-13,2401
4,Abril,Villalba,26206733,1999-11-10,2388
4,Victoria,Leiva,23720699,1996-11-14,8576
4,Guadalupe,Contreras,24864624,1982-10-23,2750
4,Nicolas,Pineda,26981039,2003-6-14,4802
4,Valentín,Rojas,28200989,1990-3-9,746
4,Julieta,Abadía,20895461,1997-8-5,2636
4,Morena,Nave,27273513,2001-11-24,7472
4,Candela,Sberna,34286765,2003-7-27,227
4,Milagros,Rómulo,37324824,1982-7-31,2170
4,Facundo,Nari,36371355,1984-10-6,5589
4,Matias,Lorca,23276968,1999-12-12,6528
4,Maria Victoria,Pinedo,39689045,1992-8-11,131
4,Josefina,Vargas,25500198,1987-2-21,9520
4,Franco,Demichelis,30719924,1990-10-12,4985
4,Juan Manuel,Rivera,20586085,1993-1-23,4420
4,Felipe,De Luca,33241230,1996-4-24,3576
4,Juana,Farías,34118263,1998-12-28,9317
4,Lucas,Ramírez,26838598,1989-4-17,6801
4,Maximo,Quispe,37305075,1991-12-31,4087
4,Pilar,Díaz,33304249,2001-10-10,6663
4,Juan Bautista,Mora,27685793,1989-11-8,238
4,Lautaro Ezequiel,Surace,28086354,1999-9-18,7117
4,Thiago,Mora,21768594,2001-11-28,7643
4,Malena,Silva,31258313,1988-12-12,6522
4,Lola,Galán,26737220,2001-7-13,6529
4,Mia,Lorca,22118690,1994-10-7,5121
4,Santiago Nicolas,Rivera,32287827,1989-2-24,6337
4,Matias Ezequiel,Duarte,25543184,1985-5-20,3055
4,Martin,Pereyra,20005337,1996-4-29,51
4,Ana Paula,Leiva,33524317,1993-10-6,4734
4,Tomas Agustin,Rodríguez,33636369,1983-5-26,4798
4,Manuel,Portillo,27446834,1983-3-20,407
4,Agostina,Sánchez,28798172,1988-8-22,5865
4,Ramiro,Duarte,39997747,1993-5-23,6139
4,Constanza,Scioti,28679921,1990-11-5,1826
4,Maria Belen,Pedone,33384748,1986-1-25,3784
4,Luca,Marchi,36946615,2003-11-21,7412
4,Bruno,Agüero,25809705,1997-1-15,9434
4,Micaela,Fava,35608610,1981-8-5,3377
4,Lara,González,21602481,1999-9-13,1677
4,Federico,Flores,24818662,2002-7-22,5830
4,Lautaro Agustin,De León,24778331,1999-3-25,9283
4,Julian,Marín,22952157,1993-7-2,7507
4,Lautaro Nicolas,Nave,30016751,1981-2-21,2445
4,Bianca,Castillo,31298320,2002-9-16,3113
4,Tobías,Gonzales,28987508,1985-11-25,4375
4,Renata,Carranza,34103431,2001-6-26,3364
4,Pedro,Sorbera,38356621,1993-6-19,844
4,Gonzalo,Hidalgo,21284928,1991-12-27,5486
4,Sofía Belén,Moreno,38094330,1983-10-3,8057
4,Lautaro Benjamin,Santos,32553063,1983-10-19,7906
4,Florencia,Carrizo,23881963,1994-3-9,9932
4,Juan Gabriel,García,31659977,1982-9-14,8356
4,Rocio Belen,Sánchez,35905162,1992-2-29,9049
4,Lautaro Nahuel,Varela,38546268,1982-5-3,8763
4,Miguel Angel,Leal,23924661,1998-3-8,7273
4,Santiago Agustin,Silva,39070914,1995-12-7,3742
4,Sebastian,Santana,30383092,1991-11-18,5803
4,Emilia,Schapira,35088691,1993-5-30,8758
4,Jazmin,Espinoza,36173730,2002-2-23,4282
4,Clara,Scanone,36482183,1998-11-17,881
4,Camila Belen,Arredondo,31273213,2000-12-21,6254
4,Jeremias,García,30283398,1994-5-16,6474
4,Mora,Duarte,21235312,1995-9-26,1412
4,Luciano,Martínez,25149161,2003-9-5,7297
4,Alejo,Agüero,37189558,1992-6-10,7634
4,Julia,Leal,33194720,1993-2-24,6008
4,Maria Valentina,López,33420753,1989-8-15,6715
4,Rocio,Pereira,24421608,1996-6-9,6256
4,Antonella,Muñoz,28058029,1992-3-10,1748
4,Simon,Morales,31920825,1984-5-24,1006
4,Maria Sol,Schapira,28814874,1990-3-2,949
4,Lucas Ezequiel,Hidalgo,22402249,1997-4-29,5876
4,Maria De Los Angeles,Godoy,20840766,1997-7-20,3835
4,Guillermina,Marchi,25995527,1990-8-24,7351
4,Valentina Abril,León,31729327,1984-6-5,9538
4,Matias Nicolas,Santana,31245019,1982-3-22,2345
4,Paloma,Casas,35839240,1981-3-10,7464
4,Maria Emilia,Gutiérrez,29784330,2000-9-2,2755
4,Juan Martin,González,38583776,1998-9-13,2473
4,Ezequiel,Lorca,27238340,1981-6-1,7892
4,Facundo Nicolas,Zurich,38488765,1984-3-8,1436
4,Paulina,Zambrano,39110690,1984-7-2,3918
